round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,8.999999999999993,,0.01879625,640744.0,-1.1231363418705703e6
2,4,0,4.353171786275149,,0.02654025,738984.0,-21567.087459918363
3,8,0,4.944588000999658,,0.033701792,428208.0,-14002.642437266877
4,16,0,7.971267677479524,,0.06477675,691232.0,-1001.1452790910208
5,32,0,9.342801053801061,,0.129561708,1.146848e6,-222.38582286432126
6,64,0,10.196330091810024,,0.265473,2.030192e6,-38.54102868465966
7,128,0,10.234588919674657,,0.480334167,3.84704e6,-65.26326036812907
8,256,0,10.195497475909464,,0.979616125,7.139776e6,-26.577523608302258
9,512,0,10.76316460944169,,1.964396167,1.3746688e7,-26.420290729318904
10,1024,1,11.312301728968068,,3.921992208,2.6800448e7,-27.783080966532168
